borrower_id,risk_segment,recommended_action,compliance_status,violation_reason
BRW-00794,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01201,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04876,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01538,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02554,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01584,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01105,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03256,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04142,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00984,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01578,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01642,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00046,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03052,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03417,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02102,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00489,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00872,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04603,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04566,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02569,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02086,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01545,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02387,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03141,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02974,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01130,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03553,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04542,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04745,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03284,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00654,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02675,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00156,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01144,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03534,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03895,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04516,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00172,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02020,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04107,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01387,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00883,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04368,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01443,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01102,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02090,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04840,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01124,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02294,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00151,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04560,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02590,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03905,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04309,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01298,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03765,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02893,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02191,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04669,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00829,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00966,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04879,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03620,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03221,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02751,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02790,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00877,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00775,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02439,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02135,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03458,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01269,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04708,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00073,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02165,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01733,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03879,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02158,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01126,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01660,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04850,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02591,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02436,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01211,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04931,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01739,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04893,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03246,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02969,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03036,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04504,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01788,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01627,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03315,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02684,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03048,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01256,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02468,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01052,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-00611,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04176,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00263,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00212,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01362,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00178,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02007,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03244,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04198,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00856,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04681,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00143,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00232,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04679,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02786,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03925,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03218,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01196,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04845,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03571,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03010,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03715,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02377,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02234,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03322,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03353,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03100,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00578,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03962,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04220,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01237,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01170,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00783,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02658,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01226,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02908,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04058,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04830,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03540,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00119,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01864,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01021,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04994,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02021,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01962,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00708,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01711,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03301,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02674,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03585,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03053,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03166,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04832,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02989,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04183,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03636,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01949,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04334,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01810,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04094,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01365,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01094,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04636,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01857,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02720,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02132,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03586,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02690,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04739,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03911,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00960,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03617,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03982,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03113,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03678,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04948,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00268,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03604,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03509,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04934,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03222,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03007,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03608,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03593,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00377,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03220,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02108,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04580,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02699,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02259,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02756,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02987,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02156,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00155,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01855,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02305,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01557,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04766,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04458,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04834,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00959,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03779,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00539,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01549,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00749,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04025,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00507,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01710,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04333,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03354,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01919,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02339,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
