borrower_id,repayment_probability,risk_segment,priority_score,recommended_action,urgency_level,priority_rank
BRW-01922,0.4432,High Risk,0.5568,Field collection escalation,High,1212
BRW-02901,0.4432,High Risk,0.5568,Field collection escalation,High,1213
BRW-04534,0.4433,High Risk,0.5567,Field collection escalation,High,1214
BRW-01813,0.4436,High Risk,0.5564,Field collection escalation,High,1215
BRW-04588,0.4437,High Risk,0.5563,Field collection escalation,High,1216
BRW-01500,0.4438,High Risk,0.5562,Field collection escalation,High,1217
BRW-03234,0.4438,High Risk,0.5562,Field collection escalation,High,1218
BRW-01728,0.4438,High Risk,0.5562,Field collection escalation,High,1219
BRW-04565,0.4438,High Risk,0.5562,Field collection escalation,High,1220
BRW-02391,0.444,High Risk,0.556,Field collection escalation,High,1221
BRW-03409,0.444,High Risk,0.556,Field collection escalation,High,1222
BRW-00400,0.4442,High Risk,0.5558,Field collection escalation,High,1223
BRW-01497,0.4442,High Risk,0.5558,Field collection escalation,High,1224
BRW-00058,0.4444,High Risk,0.5556,Field collection escalation,High,1225
BRW-00054,0.4445,High Risk,0.5555,Field collection escalation,High,1226
BRW-03810,0.4445,High Risk,0.5555,Field collection escalation,High,1227
BRW-00292,0.4445,High Risk,0.5555,Field collection escalation,High,1228
BRW-02561,0.4446,High Risk,0.5554,Field collection escalation,High,1229
BRW-02566,0.4446,High Risk,0.5554,Field collection escalation,High,1230
BRW-03268,0.4447,High Risk,0.5553,Field collection escalation,High,1231
BRW-04707,0.4448,High Risk,0.5552,Field collection escalation,High,1232
BRW-04126,0.4449,High Risk,0.5551,Field collection escalation,High,1233
BRW-02848,0.445,High Risk,0.555,Field collection escalation,High,1234
BRW-04267,0.4452,High Risk,0.5548,Field collection escalation,High,1235
BRW-03954,0.4452,High Risk,0.5548,Field collection escalation,High,1236
BRW-04089,0.4452,High Risk,0.5548,Field collection escalation,High,1237
BRW-00247,0.4452,High Risk,0.5548,Field collection escalation,High,1238
BRW-00262,0.4453,High Risk,0.5547,Field collection escalation,High,1239
BRW-01932,0.4454,High Risk,0.5546,Field collection escalation,High,1240
BRW-04559,0.4454,High Risk,0.5546,Field collection escalation,High,1241
BRW-00387,0.4454,High Risk,0.5546,Field collection escalation,High,1242
BRW-04639,0.4455,High Risk,0.5545,Field collection escalation,High,1243
BRW-01145,0.4456,High Risk,0.5544,Field collection escalation,High,1244
BRW-01800,0.4458,High Risk,0.5542,Field collection escalation,High,1245
BRW-04882,0.4458,High Risk,0.5542,Field collection escalation,High,1246
BRW-04804,0.446,High Risk,0.554,Field collection escalation,High,1247
BRW-02285,0.446,High Risk,0.554,Field collection escalation,High,1248
BRW-03644,0.4461,High Risk,0.5539,Field collection escalation,High,1249
BRW-01082,0.4462,High Risk,0.5538,Field collection escalation,High,1250
BRW-03368,0.4462,High Risk,0.5538,Field collection escalation,High,1251
BRW-00925,0.4463,High Risk,0.5537,Field collection escalation,High,1252
BRW-01651,0.4463,High Risk,0.5537,Field collection escalation,High,1253
BRW-00010,0.4464,High Risk,0.5536,Field collection escalation,High,1254
BRW-02586,0.4464,High Risk,0.5536,Field collection escalation,High,1255
BRW-03561,0.4465,High Risk,0.5535,Field collection escalation,High,1256
BRW-01091,0.4465,High Risk,0.5535,Field collection escalation,High,1257
BRW-04583,0.4466,High Risk,0.5534,Field collection escalation,High,1258
BRW-03401,0.4466,High Risk,0.5534,Field collection escalation,High,1259
BRW-01674,0.4467,High Risk,0.5533,Field collection escalation,High,1260
BRW-04966,0.4468,High Risk,0.5532,Field collection escalation,High,1261
BRW-03548,0.4471,High Risk,0.5529,Field collection escalation,High,1262
BRW-04685,0.4471,High Risk,0.5529,Field collection escalation,High,1263
BRW-00691,0.4471,High Risk,0.5529,Field collection escalation,High,1264
BRW-04190,0.4472,High Risk,0.5528,Field collection escalation,High,1265
BRW-03664,0.4472,High Risk,0.5528,Field collection escalation,High,1266
BRW-02921,0.4475,High Risk,0.5525,Field collection escalation,High,1267
BRW-01202,0.4476,High Risk,0.5524,Field collection escalation,High,1268
BRW-01333,0.4476,High Risk,0.5524,Field collection escalation,High,1269
BRW-02870,0.4476,High Risk,0.5524,Field collection escalation,High,1270
BRW-04604,0.4478,High Risk,0.5522,Field collection escalation,High,1271
BRW-02376,0.4478,High Risk,0.5522,Field collection escalation,High,1272
BRW-03754,0.448,High Risk,0.552,Field collection escalation,High,1273
BRW-02496,0.4481,High Risk,0.5519,Field collection escalation,High,1274
BRW-00203,0.4483,High Risk,0.5517,Field collection escalation,High,1275
BRW-03893,0.4484,High Risk,0.5516,Field collection escalation,High,1276
BRW-04990,0.4484,High Risk,0.5516,Field collection escalation,High,1277
BRW-01689,0.4484,High Risk,0.5516,Field collection escalation,High,1278
BRW-00730,0.4484,High Risk,0.5516,Field collection escalation,High,1279
BRW-02650,0.4485,High Risk,0.5515,Field collection escalation,High,1280
BRW-04413,0.4486,High Risk,0.5514,Field collection escalation,High,1281
BRW-02008,0.4486,High Risk,0.5514,Field collection escalation,High,1282
BRW-03996,0.4486,High Risk,0.5514,Field collection escalation,High,1283
BRW-04872,0.4486,High Risk,0.5514,Field collection escalation,High,1284
BRW-00992,0.4489,High Risk,0.5511,Field collection escalation,High,1285
BRW-04656,0.449,High Risk,0.551,Field collection escalation,High,1286
BRW-01550,0.4492,High Risk,0.5508,Field collection escalation,High,1287
BRW-03860,0.4493,High Risk,0.5507,Field collection escalation,High,1288
BRW-00924,0.4494,High Risk,0.5506,Field collection escalation,High,1289
BRW-01245,0.4494,High Risk,0.5506,Field collection escalation,High,1290
BRW-04339,0.4498,High Risk,0.5502,Field collection escalation,High,1291
BRW-03739,0.4499,High Risk,0.5501,Field collection escalation,High,1292
BRW-00920,0.45,High Risk,0.55,Field collection escalation,High,1293
BRW-04590,0.45,High Risk,0.55,Field collection escalation,High,1294
BRW-04017,0.4503,Medium Risk,0.5497,Call-center follow-up,Medium,1295
BRW-01499,0.4503,Medium Risk,0.5497,Call-center follow-up,Medium,1296
BRW-01976,0.4504,Medium Risk,0.5496,Call-center follow-up,Medium,1297
BRW-03281,0.4504,Medium Risk,0.5496,Call-center follow-up,Medium,1298
BRW-03131,0.4504,Medium Risk,0.5496,Call-center follow-up,Medium,1299
BRW-03492,0.4507,Medium Risk,0.5493,Call-center follow-up,Medium,1300
BRW-01718,0.4512,Medium Risk,0.5488,Call-center follow-up,Medium,1301
BRW-01261,0.4515,Medium Risk,0.5485,Call-center follow-up,Medium,1302
BRW-00725,0.4516,Medium Risk,0.5484,Call-center follow-up,Medium,1303
BRW-01060,0.4518,Medium Risk,0.5482,Call-center follow-up,Medium,1304
BRW-01726,0.4518,Medium Risk,0.5482,Call-center follow-up,Medium,1305
BRW-03269,0.4518,Medium Risk,0.5482,Call-center follow-up,Medium,1306
BRW-04577,0.4518,Medium Risk,0.5482,Call-center follow-up,Medium,1307
BRW-04865,0.4519,Medium Risk,0.5481,Call-center follow-up,Medium,1308
BRW-01955,0.452,Medium Risk,0.548,Call-center follow-up,Medium,1309
BRW-00813,0.452,Medium Risk,0.548,Call-center follow-up,Medium,1310
BRW-03418,0.452,Medium Risk,0.548,Call-center follow-up,Medium,1311
BRW-01006,0.452,Medium Risk,0.548,Call-center follow-up,Medium,1312
BRW-00406,0.4521,Medium Risk,0.5479,Call-center follow-up,Medium,1313
BRW-02300,0.4523,Medium Risk,0.5477,Call-center follow-up,Medium,1314
BRW-01524,0.4524,Medium Risk,0.5476,Call-center follow-up,Medium,1315
BRW-02450,0.4524,Medium Risk,0.5476,Call-center follow-up,Medium,1316
BRW-02315,0.4525,Medium Risk,0.5475,Call-center follow-up,Medium,1317
BRW-00235,0.4528,Medium Risk,0.5472,Call-center follow-up,Medium,1318
BRW-04028,0.4528,Medium Risk,0.5472,Call-center follow-up,Medium,1319
BRW-01722,0.4528,Medium Risk,0.5472,Call-center follow-up,Medium,1320
BRW-03802,0.4528,Medium Risk,0.5472,Call-center follow-up,Medium,1321
BRW-03531,0.4528,Medium Risk,0.5472,Call-center follow-up,Medium,1322
BRW-04997,0.4529,Medium Risk,0.5471,Call-center follow-up,Medium,1323
BRW-00506,0.4529,Medium Risk,0.5471,Call-center follow-up,Medium,1324
BRW-01542,0.4531,Medium Risk,0.5469,Call-center follow-up,Medium,1325
BRW-02568,0.4531,Medium Risk,0.5469,Call-center follow-up,Medium,1326
BRW-02862,0.4533,Medium Risk,0.5467,Call-center follow-up,Medium,1327
BRW-04532,0.4533,Medium Risk,0.5467,Call-center follow-up,Medium,1328
BRW-03920,0.4534,Medium Risk,0.5466,Call-center follow-up,Medium,1329
BRW-01778,0.4535,Medium Risk,0.5465,Call-center follow-up,Medium,1330
BRW-04668,0.4537,Medium Risk,0.5463,Call-center follow-up,Medium,1331
BRW-02647,0.4538,Medium Risk,0.5462,Call-center follow-up,Medium,1332
BRW-03945,0.4538,Medium Risk,0.5462,Call-center follow-up,Medium,1333
BRW-00642,0.4539,Medium Risk,0.5461,Call-center follow-up,Medium,1334
BRW-02357,0.4539,Medium Risk,0.5461,Call-center follow-up,Medium,1335
BRW-03345,0.454,Medium Risk,0.546,Call-center follow-up,Medium,1336
BRW-03229,0.454,Medium Risk,0.546,Call-center follow-up,Medium,1337
BRW-03598,0.4541,Medium Risk,0.5459,Call-center follow-up,Medium,1338
BRW-00047,0.4541,Medium Risk,0.5459,Call-center follow-up,Medium,1339
BRW-04561,0.4541,Medium Risk,0.5459,Call-center follow-up,Medium,1340
BRW-01031,0.4546,Medium Risk,0.5454,Call-center follow-up,Medium,1341
BRW-04913,0.4547,Medium Risk,0.5453,Call-center follow-up,Medium,1342
BRW-00467,0.4547,Medium Risk,0.5453,Call-center follow-up,Medium,1343
BRW-04866,0.4548,Medium Risk,0.5452,Call-center follow-up,Medium,1344
BRW-02851,0.4548,Medium Risk,0.5452,Call-center follow-up,Medium,1345
BRW-01442,0.4549,Medium Risk,0.5451,Call-center follow-up,Medium,1346
BRW-01322,0.4549,Medium Risk,0.5451,Call-center follow-up,Medium,1347
BRW-04277,0.455,Medium Risk,0.545,Call-center follow-up,Medium,1348
BRW-03119,0.4551,Medium Risk,0.5449,Call-center follow-up,Medium,1349
BRW-01104,0.4552,Medium Risk,0.5448,Call-center follow-up,Medium,1350
BRW-00754,0.4553,Medium Risk,0.5447,Call-center follow-up,Medium,1351
BRW-00125,0.4554,Medium Risk,0.5446,Call-center follow-up,Medium,1352
BRW-04219,0.4554,Medium Risk,0.5446,Call-center follow-up,Medium,1353
BRW-03663,0.4555,Medium Risk,0.5445,Call-center follow-up,Medium,1354
BRW-04009,0.4555,Medium Risk,0.5445,Call-center follow-up,Medium,1355
BRW-01727,0.4556,Medium Risk,0.5444,Call-center follow-up,Medium,1356
BRW-01325,0.4556,Medium Risk,0.5444,Call-center follow-up,Medium,1357
BRW-01490,0.4556,Medium Risk,0.5444,Call-center follow-up,Medium,1358
BRW-00453,0.4556,Medium Risk,0.5444,Call-center follow-up,Medium,1359
BRW-00714,0.4556,Medium Risk,0.5444,Call-center follow-up,Medium,1360
BRW-03357,0.4557,Medium Risk,0.5443,Call-center follow-up,Medium,1361
BRW-00131,0.4559,Medium Risk,0.5441,Call-center follow-up,Medium,1362
BRW-02551,0.456,Medium Risk,0.544,Call-center follow-up,Medium,1363
BRW-02046,0.456,Medium Risk,0.544,Call-center follow-up,Medium,1364
BRW-04427,0.456,Medium Risk,0.544,Call-center follow-up,Medium,1365
BRW-04519,0.4561,Medium Risk,0.5439,Call-center follow-up,Medium,1366
BRW-03566,0.4561,Medium Risk,0.5439,Call-center follow-up,Medium,1367
BRW-02444,0.4562,Medium Risk,0.5438,Call-center follow-up,Medium,1368
BRW-03396,0.4562,Medium Risk,0.5438,Call-center follow-up,Medium,1369
BRW-01273,0.4563,Medium Risk,0.5437,Call-center follow-up,Medium,1370
BRW-01690,0.4563,Medium Risk,0.5437,Call-center follow-up,Medium,1371
BRW-04433,0.4564,Medium Risk,0.5436,Call-center follow-up,Medium,1372
BRW-00515,0.4565,Medium Risk,0.5435,Call-center follow-up,Medium,1373
BRW-04545,0.4565,Medium Risk,0.5435,Call-center follow-up,Medium,1374
BRW-04890,0.4565,Medium Risk,0.5435,Call-center follow-up,Medium,1375
BRW-02321,0.4566,Medium Risk,0.5434,Call-center follow-up,Medium,1376
BRW-02028,0.4567,Medium Risk,0.5433,Call-center follow-up,Medium,1377
BRW-00079,0.4567,Medium Risk,0.5433,Call-center follow-up,Medium,1378
BRW-01405,0.4568,Medium Risk,0.5432,Call-center follow-up,Medium,1379
BRW-01188,0.4568,Medium Risk,0.5432,Call-center follow-up,Medium,1380
BRW-04206,0.4569,Medium Risk,0.5431,Call-center follow-up,Medium,1381
BRW-04238,0.4569,Medium Risk,0.5431,Call-center follow-up,Medium,1382
BRW-01995,0.457,Medium Risk,0.543,Call-center follow-up,Medium,1383
BRW-04003,0.457,Medium Risk,0.543,Call-center follow-up,Medium,1384
BRW-00919,0.457,Medium Risk,0.543,Call-center follow-up,Medium,1385
BRW-03513,0.4571,Medium Risk,0.5429,Call-center follow-up,Medium,1386
BRW-02544,0.4571,Medium Risk,0.5429,Call-center follow-up,Medium,1387
BRW-00254,0.4572,Medium Risk,0.5428,Call-center follow-up,Medium,1388
BRW-02420,0.4574,Medium Risk,0.5426,Call-center follow-up,Medium,1389
BRW-04364,0.4574,Medium Risk,0.5426,Call-center follow-up,Medium,1390
BRW-02056,0.4574,Medium Risk,0.5426,Call-center follow-up,Medium,1391
BRW-01049,0.4576,Medium Risk,0.5424,Call-center follow-up,Medium,1392
BRW-00858,0.4576,Medium Risk,0.5424,Call-center follow-up,Medium,1393
BRW-03340,0.4579,Medium Risk,0.5421,Call-center follow-up,Medium,1394
BRW-01369,0.458,Medium Risk,0.542,Call-center follow-up,Medium,1395
BRW-03026,0.458,Medium Risk,0.542,Call-center follow-up,Medium,1396
BRW-04690,0.458,Medium Risk,0.542,Call-center follow-up,Medium,1397
BRW-03832,0.4581,Medium Risk,0.5419,Call-center follow-up,Medium,1398
BRW-02043,0.4583,Medium Risk,0.5417,Call-center follow-up,Medium,1399
BRW-03318,0.4585,Medium Risk,0.5415,Call-center follow-up,Medium,1400
BRW-03305,0.4588,Medium Risk,0.5412,Call-center follow-up,Medium,1401
BRW-03707,0.4589,Medium Risk,0.5411,Call-center follow-up,Medium,1402
BRW-00124,0.4589,Medium Risk,0.5411,Call-center follow-up,Medium,1403
BRW-03198,0.459,Medium Risk,0.541,Call-center follow-up,Medium,1404
BRW-01367,0.4591,Medium Risk,0.5409,Call-center follow-up,Medium,1405
BRW-00535,0.4591,Medium Risk,0.5409,Call-center follow-up,Medium,1406
BRW-03211,0.4593,Medium Risk,0.5407,Call-center follow-up,Medium,1407
BRW-04128,0.4593,Medium Risk,0.5407,Call-center follow-up,Medium,1408
BRW-01503,0.4595,Medium Risk,0.5405,Call-center follow-up,Medium,1409
BRW-01492,0.4595,Medium Risk,0.5405,Call-center follow-up,Medium,1410
BRW-04311,0.4596,Medium Risk,0.5404,Call-center follow-up,Medium,1411
BRW-02603,0.4596,Medium Risk,0.5404,Call-center follow-up,Medium,1412
BRW-04582,0.4597,Medium Risk,0.5403,Call-center follow-up,Medium,1413
BRW-01027,0.4597,Medium Risk,0.5403,Call-center follow-up,Medium,1414
BRW-02164,0.4598,Medium Risk,0.5402,Call-center follow-up,Medium,1415
BRW-04557,0.4601,Medium Risk,0.5399,Call-center follow-up,Medium,1416
BRW-03209,0.4601,Medium Risk,0.5399,Call-center follow-up,Medium,1417
BRW-02822,0.4601,Medium Risk,0.5399,Call-center follow-up,Medium,1418
BRW-02909,0.4601,Medium Risk,0.5399,Call-center follow-up,Medium,1419
BRW-03778,0.4602,Medium Risk,0.5398,Call-center follow-up,Medium,1420
BRW-03770,0.4602,Medium Risk,0.5398,Call-center follow-up,Medium,1421
BRW-01025,0.4602,Medium Risk,0.5398,Call-center follow-up,Medium,1422
BRW-03342,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1423
BRW-01673,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1424
BRW-03067,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1425
BRW-02210,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1426
BRW-00805,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1427
BRW-01296,0.4603,Medium Risk,0.5397,Call-center follow-up,Medium,1428
BRW-00637,0.4604,Medium Risk,0.5396,Call-center follow-up,Medium,1429
BRW-01910,0.4605,Medium Risk,0.5395,Call-center follow-up,Medium,1430
BRW-01701,0.4605,Medium Risk,0.5395,Call-center follow-up,Medium,1431
BRW-02761,0.4605,Medium Risk,0.5395,Call-center follow-up,Medium,1432
BRW-04425,0.4606,Medium Risk,0.5394,Call-center follow-up,Medium,1433
BRW-03824,0.4606,Medium Risk,0.5394,Call-center follow-up,Medium,1434
BRW-00478,0.4606,Medium Risk,0.5394,Call-center follow-up,Medium,1435
BRW-02728,0.4606,Medium Risk,0.5394,Call-center follow-up,Medium,1436
BRW-03901,0.4607,Medium Risk,0.5393,Call-center follow-up,Medium,1437
BRW-03584,0.4607,Medium Risk,0.5393,Call-center follow-up,Medium,1438
BRW-01637,0.4609,Medium Risk,0.5391,Call-center follow-up,Medium,1439
BRW-03111,0.4609,Medium Risk,0.5391,Call-center follow-up,Medium,1440
BRW-03963,0.4609,Medium Risk,0.5391,Call-center follow-up,Medium,1441
BRW-00233,0.4612,Medium Risk,0.5388,Call-center follow-up,Medium,1442
BRW-01003,0.4612,Medium Risk,0.5388,Call-center follow-up,Medium,1443
BRW-02301,0.4613,Medium Risk,0.5387,Call-center follow-up,Medium,1444
BRW-04440,0.4613,Medium Risk,0.5387,Call-center follow-up,Medium,1445
BRW-01880,0.4613,Medium Risk,0.5387,Call-center follow-up,Medium,1446
BRW-03442,0.4613,Medium Risk,0.5387,Call-center follow-up,Medium,1447
BRW-02280,0.4614,Medium Risk,0.5386,Call-center follow-up,Medium,1448
BRW-01539,0.4614,Medium Risk,0.5386,Call-center follow-up,Medium,1449
BRW-03223,0.4614,Medium Risk,0.5386,Call-center follow-up,Medium,1450
BRW-02666,0.4615,Medium Risk,0.5385,Call-center follow-up,Medium,1451
BRW-00737,0.4617,Medium Risk,0.5383,Call-center follow-up,Medium,1452
BRW-04338,0.4617,Medium Risk,0.5383,Call-center follow-up,Medium,1453
BRW-02824,0.4617,Medium Risk,0.5383,Call-center follow-up,Medium,1454
BRW-01966,0.4621,Medium Risk,0.5379,Call-center follow-up,Medium,1455
BRW-04867,0.4621,Medium Risk,0.5379,Call-center follow-up,Medium,1456
BRW-04454,0.4622,Medium Risk,0.5378,Call-center follow-up,Medium,1457
BRW-00782,0.4625,Medium Risk,0.5375,Call-center follow-up,Medium,1458
BRW-04477,0.4625,Medium Risk,0.5375,Call-center follow-up,Medium,1459
BRW-02348,0.4625,Medium Risk,0.5375,Call-center follow-up,Medium,1460
BRW-02338,0.4626,Medium Risk,0.5374,Call-center follow-up,Medium,1461
BRW-02461,0.4626,Medium Risk,0.5374,Call-center follow-up,Medium,1462
BRW-01839,0.4627,Medium Risk,0.5373,Call-center follow-up,Medium,1463
BRW-00367,0.4627,Medium Risk,0.5373,Call-center follow-up,Medium,1464
BRW-01154,0.4627,Medium Risk,0.5373,Call-center follow-up,Medium,1465
BRW-01404,0.4628,Medium Risk,0.5372,Call-center follow-up,Medium,1466
BRW-03965,0.4628,Medium Risk,0.5372,Call-center follow-up,Medium,1467
BRW-00681,0.4629,Medium Risk,0.5371,Call-center follow-up,Medium,1468
BRW-03669,0.4631,Medium Risk,0.5369,Call-center follow-up,Medium,1469
BRW-02907,0.4631,Medium Risk,0.5369,Call-center follow-up,Medium,1470
BRW-03582,0.4632,Medium Risk,0.5368,Call-center follow-up,Medium,1471
BRW-04092,0.4632,Medium Risk,0.5368,Call-center follow-up,Medium,1472
BRW-01032,0.4632,Medium Risk,0.5368,Call-center follow-up,Medium,1473
BRW-01640,0.4634,Medium Risk,0.5366,Call-center follow-up,Medium,1474
BRW-01173,0.4634,Medium Risk,0.5366,Call-center follow-up,Medium,1475
BRW-04762,0.4634,Medium Risk,0.5366,Call-center follow-up,Medium,1476
BRW-04672,0.4635,Medium Risk,0.5365,Call-center follow-up,Medium,1477
BRW-03881,0.4635,Medium Risk,0.5365,Call-center follow-up,Medium,1478
BRW-03651,0.4635,Medium Risk,0.5365,Call-center follow-up,Medium,1479
BRW-01887,0.4637,Medium Risk,0.5363,Call-center follow-up,Medium,1480
BRW-03605,0.4637,Medium Risk,0.5363,Call-center follow-up,Medium,1481
BRW-04705,0.4639,Medium Risk,0.5361,Call-center follow-up,Medium,1482
BRW-03338,0.464,Medium Risk,0.536,Call-center follow-up,Medium,1483
BRW-00023,0.464,Medium Risk,0.536,Call-center follow-up,Medium,1484
BRW-01055,0.464,Medium Risk,0.536,Call-center follow-up,Medium,1485
BRW-04728,0.4641,Medium Risk,0.5359,Call-center follow-up,Medium,1486
BRW-04202,0.4641,Medium Risk,0.5359,Call-center follow-up,Medium,1487
BRW-01675,0.4641,Medium Risk,0.5359,Call-center follow-up,Medium,1488
BRW-04090,0.4643,Medium Risk,0.5357,Call-center follow-up,Medium,1489
BRW-02097,0.4643,Medium Risk,0.5357,Call-center follow-up,Medium,1490
BRW-04353,0.4643,Medium Risk,0.5357,Call-center follow-up,Medium,1491
BRW-01349,0.4644,Medium Risk,0.5356,Call-center follow-up,Medium,1492
BRW-02409,0.4644,Medium Risk,0.5356,Call-center follow-up,Medium,1493
BRW-02488,0.4647,Medium Risk,0.5353,Call-center follow-up,Medium,1494
BRW-04406,0.4647,Medium Risk,0.5353,Call-center follow-up,Medium,1495
BRW-03335,0.465,Medium Risk,0.535,Call-center follow-up,Medium,1496
BRW-02038,0.465,Medium Risk,0.535,Call-center follow-up,Medium,1497
BRW-01444,0.465,Medium Risk,0.535,Call-center follow-up,Medium,1498
BRW-03793,0.4651,Medium Risk,0.5349,Call-center follow-up,Medium,1499
BRW-04571,0.4652,Medium Risk,0.5348,Call-center follow-up,Medium,1500
BRW-00554,0.4657,Medium Risk,0.5343,Call-center follow-up,Medium,1501
BRW-03532,0.4658,Medium Risk,0.5342,Call-center follow-up,Medium,1502
BRW-03422,0.4658,Medium Risk,0.5342,Call-center follow-up,Medium,1503
BRW-04337,0.4658,Medium Risk,0.5342,Call-center follow-up,Medium,1504
BRW-04466,0.4659,Medium Risk,0.5341,Call-center follow-up,Medium,1505
BRW-04363,0.466,Medium Risk,0.534,Call-center follow-up,Medium,1506
BRW-02466,0.466,Medium Risk,0.534,Call-center follow-up,Medium,1507
BRW-03288,0.4661,Medium Risk,0.5339,Call-center follow-up,Medium,1508
BRW-01158,0.4662,Medium Risk,0.5338,Call-center follow-up,Medium,1509
BRW-03045,0.4662,Medium Risk,0.5338,Call-center follow-up,Medium,1510
BRW-00658,0.4663,Medium Risk,0.5337,Call-center follow-up,Medium,1511
BRW-00120,0.4664,Medium Risk,0.5336,Call-center follow-up,Medium,1512
BRW-00630,0.4665,Medium Risk,0.5335,Call-center follow-up,Medium,1513
BRW-04610,0.4665,Medium Risk,0.5335,Call-center follow-up,Medium,1514
BRW-04103,0.4666,Medium Risk,0.5334,Call-center follow-up,Medium,1515
BRW-02616,0.4666,Medium Risk,0.5334,Call-center follow-up,Medium,1516
BRW-00129,0.4668,Medium Risk,0.5332,Call-center follow-up,Medium,1517
BRW-03123,0.467,Medium Risk,0.533,Call-center follow-up,Medium,1518
BRW-02010,0.4671,Medium Risk,0.5329,Call-center follow-up,Medium,1519
BRW-00565,0.4671,Medium Risk,0.5329,Call-center follow-up,Medium,1520
BRW-04224,0.4672,Medium Risk,0.5328,Call-center follow-up,Medium,1521
BRW-02874,0.4673,Medium Risk,0.5327,Call-center follow-up,Medium,1522
BRW-02844,0.4673,Medium Risk,0.5327,Call-center follow-up,Medium,1523
BRW-01042,0.4673,Medium Risk,0.5327,Call-center follow-up,Medium,1524
BRW-00475,0.4675,Medium Risk,0.5325,Call-center follow-up,Medium,1525
BRW-03796,0.4675,Medium Risk,0.5325,Call-center follow-up,Medium,1526
BRW-03797,0.4675,Medium Risk,0.5325,Call-center follow-up,Medium,1527
BRW-02964,0.4677,Medium Risk,0.5323,Call-center follow-up,Medium,1528
BRW-01150,0.4678,Medium Risk,0.5322,Call-center follow-up,Medium,1529
BRW-03435,0.4678,Medium Risk,0.5322,Call-center follow-up,Medium,1530
BRW-00443,0.4679,Medium Risk,0.5321,Call-center follow-up,Medium,1531
BRW-00265,0.468,Medium Risk,0.532,Call-center follow-up,Medium,1532
BRW-02188,0.4681,Medium Risk,0.5319,Call-center follow-up,Medium,1533
BRW-04091,0.4683,Medium Risk,0.5317,Call-center follow-up,Medium,1534
BRW-04329,0.4684,Medium Risk,0.5316,Call-center follow-up,Medium,1535
BRW-01323,0.4684,Medium Risk,0.5316,Call-center follow-up,Medium,1536
BRW-02718,0.4686,Medium Risk,0.5314,Call-center follow-up,Medium,1537
BRW-03915,0.4687,Medium Risk,0.5313,Call-center follow-up,Medium,1538
BRW-02672,0.4688,Medium Risk,0.5312,Call-center follow-up,Medium,1539
BRW-00842,0.4689,Medium Risk,0.5311,Call-center follow-up,Medium,1540
BRW-02081,0.4689,Medium Risk,0.5311,Call-center follow-up,Medium,1541
BRW-03969,0.4689,Medium Risk,0.5311,Call-center follow-up,Medium,1542
BRW-00530,0.4689,Medium Risk,0.5311,Call-center follow-up,Medium,1543
BRW-00132,0.4691,Medium Risk,0.5309,Call-center follow-up,Medium,1544
BRW-01742,0.4691,Medium Risk,0.5309,Call-center follow-up,Medium,1545
BRW-03846,0.4691,Medium Risk,0.5309,Call-center follow-up,Medium,1546
BRW-02659,0.4692,Medium Risk,0.5308,Call-center follow-up,Medium,1547
BRW-03558,0.4693,Medium Risk,0.5307,Call-center follow-up,Medium,1548
BRW-03374,0.4694,Medium Risk,0.5306,Call-center follow-up,Medium,1549
BRW-00484,0.4695,Medium Risk,0.5305,Call-center follow-up,Medium,1550
BRW-03563,0.4696,Medium Risk,0.5304,Call-center follow-up,Medium,1551
BRW-00841,0.4696,Medium Risk,0.5304,Call-center follow-up,Medium,1552
BRW-00843,0.4696,Medium Risk,0.5304,Call-center follow-up,Medium,1553
BRW-00934,0.4696,Medium Risk,0.5304,Call-center follow-up,Medium,1554
BRW-04903,0.4696,Medium Risk,0.5304,Call-center follow-up,Medium,1555
BRW-02882,0.4697,Medium Risk,0.5303,Call-center follow-up,Medium,1556
BRW-02943,0.4697,Medium Risk,0.5303,Call-center follow-up,Medium,1557
BRW-02657,0.4698,Medium Risk,0.5302,Call-center follow-up,Medium,1558
BRW-00105,0.4698,Medium Risk,0.5302,Call-center follow-up,Medium,1559
BRW-04325,0.47,Medium Risk,0.53,Call-center follow-up,Medium,1560
BRW-04154,0.4701,Medium Risk,0.5299,Call-center follow-up,Medium,1561
BRW-01435,0.4703,Medium Risk,0.5297,Call-center follow-up,Medium,1562
BRW-02892,0.4703,Medium Risk,0.5297,Call-center follow-up,Medium,1563
BRW-04382,0.4703,Medium Risk,0.5297,Call-center follow-up,Medium,1564
BRW-04721,0.4703,Medium Risk,0.5297,Call-center follow-up,Medium,1565
BRW-04809,0.4704,Medium Risk,0.5296,Call-center follow-up,Medium,1566
BRW-01300,0.4704,Medium Risk,0.5296,Call-center follow-up,Medium,1567
BRW-04623,0.4705,Medium Risk,0.5295,Call-center follow-up,Medium,1568
BRW-04538,0.4706,Medium Risk,0.5294,Call-center follow-up,Medium,1569
BRW-04718,0.4706,Medium Risk,0.5294,Call-center follow-up,Medium,1570
BRW-04733,0.4707,Medium Risk,0.5293,Call-center follow-up,Medium,1571
BRW-03170,0.4707,Medium Risk,0.5293,Call-center follow-up,Medium,1572
